OLD OI,Lot,Top-3,O-Cost,Cost,O-Avg,Symbol,D.QTY,QTY,% Top-3,% O-Cost,% Cost,% Avg,Current,Diff
1446,40,20150.859851371955,20043.190038429657,20057.24951917843,20424.901477832515,FINNIFTY,0.0,0.0,-0.014749239167167279,0.0007014592348730663,-0.010150919196759707,-0.027968383517173963,19853.65,19853.65,False
13444,9150,123.46482767603227,122.62527965344347,122.7259932963676,125.47251197726125,GAIL,0.0,0.0,-0.014699147199997032,0.0008213122384614765,-0.008767444185757886,-0.03046493544302339,121.65,121.65,False
5480,1450,819.7512522756048,795.0010686979222,799.2661061948302,864.2857142857144,GLENMARK,0.0,0.0,0.012441271295510509,0.005364819828347427,0.03839008506347237,-0.039727272727272854,829.95,829.95,False
5305,22500,62.747293857543895,62.244303990717846,62.21772118344451,61.104404660414886,GMRINFRA,0.0,0.0,-0.05653301743334725,-0.000427072126588479,-0.04850259903520047,-0.031166405613450136,59.2,59.2,False
6398,1300,615.1158096943975,627.8786927898122,630.2144049543292,654.058509058509,GNFC,0.0,0.0,-0.02270435822700776,0.003720005458600364,-0.046118280899078296,-0.08089262401718265,601.15,601.15,False
7967,1000,1022.6085623438564,1023.2755138676958,1022.6241567481632,1007.978809283552,GODREJCP,0.0,0.0,-0.03222989084729958,-0.0006365412938209987,-0.03224464876032023,-0.018183724811218698,989.65,989.65,False
6884,475,1656.2652000803162,1650.5309410472353,1653.5367809356514,1685.0351084322376,GODREJPROP,0.0,0.0,-0.05923882242744594,0.0018211351351638517,-0.0576865190030287,-0.0753011660097052,1558.15,1558.15,False
5437,2000,324.1558638161147,312.0885215125857,315.4526505646173,330.6468247101575,GRANULES,0.0,0.0,-0.0007893234233141694,0.010779406546984751,0.02677850200422504,-0.020404928176980763,323.9,323.9,False
28674,475,1882.6546289057576,1848.6716439314423,1854.6832825199106,1937.0147161878065,GRASIM,0.0,0.0,0.016251186290087177,0.0032518693128671147,0.031577745932187595,-0.012268732905951926,1913.25,1913.25,False
6820,1250,454.70631925726263,454.0357310071216,453.96169340589444,452.35155412647373,GUJGASLTD,0.0,0.0,-0.02882370158978888,-0.00016306558310501823,-0.02723069718316877,-0.023768137919269006,441.6,441.6,False
14735,300,4060.904184078003,3998.9166476331347,3998.1051967193453,3969.3104335520393,HAL,0.0,0.0,-0.03531336312741928,-0.00020291768628630068,-0.0201608493907279,-0.013052754230078041,3917.5,3917.5,False
11525,500,1399.203631971344,1386.1186362013568,1386.6022764678369,1402.530276308054,HAVELLS,0.0,0.0,0.011503949575929592,0.00034891693528157344,0.020696434744984168,0.009104775781069266,1415.3,1415.3,False
